BoroCD,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,2010,Income
101,15644.120000000003,4203.21,2409.3500000000004,60978.0,76534
102,24560.51,5132.0199999999995,3456.2299999999996,90016.0,76534
103,35667.060000000005,3848.1199999999994,3153.66,163277.0,69780
104,27466.219999999998,5176.57,4062.7799999999997,103245.0,82072
105,15496.39,2998.7000000000003,1849.3600000000001,51673.0,82072
106,34668.05,6195.789999999999,4426.2,142745.0,79449
107,61500.97,12656.670000000002,7952.370000000001,209084.0,97034
108,64395.41,13541.65,8178.419999999999,219920.0,115522
109,29498.770000000004,3183.1400000000003,2532.9300000000003,110193.0,45736
110,33450.810000000005,2740.79,2199.24,115723.0,52951
111,26191.260000000002,2391.6600000000003,1868.09,120511.0,44768
112,59551.23,5243.57,5121.8099999999995,190020.0,70214
201,22967.8,1138.6,1193.4299999999998,91497.0,48810
202,18306.760000000002,963.02,1195.67,52246.0,48810
203,21993.15,1290.9299999999998,1307.52,79762.0,54210
204,50086.06,2404.82,2610.98,146441.0,46832
205,41398.47,2266.66,2932.7200000000003,128200.0,44093
206,25581.960000000006,1364.06,1664.8,83268.0,54210
207,43394.9,2938.51,3626.5199999999995,139286.0,41714
208,28642.119999999995,3973.2600000000007,3395.83,101731.0,40630
209,45362.919999999984,2266.23,2958.39,172298.0,62950
210,29631.719999999998,3950.02,3580.9699999999993,120392.0,45466
211,35735.61000000001,3514.4100000000008,3170.6600000000003,113232.0,43093
212,45318.24,4326.72,5127.75,152344.0,46905
301,58922.7,5920.319999999999,4602.489999999999,173083.0,60608
302,28887.760000000002,5083.16,3610.75,99617.0,53813
303,47605.670000000006,3210.89,2814.9599999999996,152985.0,49212
304,37034.59,2408.43,2962.0799999999995,112634.0,44787
305,52319.74,2962.48,3538.12,182896.0,51081
306,26641.819999999996,6826.6,4482.280000000001,104709.0,48185
307,39208.340000000004,5075.540000000001,4105.61,126230.0,46196
308,31983.659999999996,2865.46,2562.94,96317.0,50355
309,36624.14000000001,2792.59,2100.4799999999996,98429.0,40043
310,38947.39,6472.74,4319.17,124491.0,49563
311,57692.93000000001,7770.53,5150.61,181981.0,62922
312,71380.17000000001,8160.070000000001,4339.289999999999,191382.0,46080
313,25515.500000000004,1998.06,1825.1699999999998,104278.0,44264
314,57865.490000000005,5445.05,3647.02,160664.0,55887
315,52899.91000000001,7227.31,4752.34,159650.0,56561
316,23215.35,1208.7500000000002,1333.73,86468.0,42706
317,51299.63,3801.1200000000003,4138.73,155252.0,46768
318,64130.3,7027.160000000001,5725.6,193543.0,66367
401,49191.28,6882.469999999998,6053.000000000001,191105.0,73067
402,33897.90000000001,4724.619999999999,3558.1399999999994,113200.0,51635
403,56718.119999999995,4526.95,4386.740000000001,171576.0,56575
404,50133.12,4145.4800000000005,3439.2999999999997,172598.0,43991
405,57167.14,7955.109999999999,6962.31,169190.0,61909
406,33381.43,5118.81,3456.35,113257.0,52420
407,77455.75,10015.18,6756.15,247354.0,87060
408,43682.149999999994,5823.200000000001,3939.74,151107.0,53481
409,47840.23,5229.64,4871.619999999999,143317.0,45632
410,45079.86,4772.63,4440.12,122396.0,39006
411,36025.869999999995,6223.069999999999,4248.82,116431.0,43582
412,77975.34999999999,5762.08,7303.879999999999,225919.0,70625
413,63408.25999999999,6388.62,7204.82,188593.0,59982
414,37777.39000000001,2753.37,2150.6800000000003,114978.0,38795
501,61289.45999999999,7540.18,7046.67,175756.0,60237
502,50475.28,7042.88,5637.43,132003.0,46919
503,68154.42,9983.98,7674.210000000001,160209.0,57220
